book_author,book_image_link,book_name,book_price
Bob Woodward,https://m.media-amazon.com/images/I/71gk+H+yEkL._AC_UY218_.jpg,Peril,18.
Anderson Cooper,https://m.media-amazon.com/images/I/81Ok1VQoXWS._AC_UY218_.jpg,Vanderbilt: The Rise and Fall of an American Dynasty,18.
Nicholas Sparks,https://m.media-amazon.com/images/I/81MgsNre3IL._AC_UY218_.jpg,The Wish,15.
Liane Moriarty,https://m.media-amazon.com/images/I/81ZV+TzlboL._AC_UY218_.jpg,Apples Never Fall,0.
Anthony Doerr,https://m.media-amazon.com/images/I/81Ta5Jce+eL._AC_UY218_.jpg,Cloud Cuckoo Land: A Novel,18.
Mel Robbins,https://m.media-amazon.com/images/I/71UtkPg4oVL._AC_UY218_.jpg,The High 5 Habit: Take Control of Your Life with One Simple Habit,0.
Sara Gottfried,https://m.media-amazon.com/images/I/81X7JrHEqGL._AC_UY218_.jpg,"Women, Food, and Hormones: A 4-Week Plan to Achieve Hormonal Balance, Lose Weight, and Feel Like Yourself Again",20.
Amanda Gorman,https://m.media-amazon.com/images/I/A1ITodlM7JS._AC_UY218_.jpg,Change Sings: A Children's Anthem,12.
Tabitha Brown,https://m.media-amazon.com/images/I/81cI1G+KCvS._AC_UY218_.jpg,"Feeding the Soul (Because It's My Business): Finding Our Way to Joy, Love, and Freedom",17.
Joshua Weissman,https://m.media-amazon.com/images/I/91m4x8jBBzS._AC_UY218_.jpg,Joshua Weissman: An Unapologetic Cookbook. A #1 NEW YORK TIMES BESTSELLER,18.
Colson Whitehead,https://m.media-amazon.com/images/I/91AaD5klSmL._AC_UY218_.jpg,Harlem Shuffle: A Novel,.
Richard Powers,https://m.media-amazon.com/images/I/71cEOVrIUmL._AC_UY218_.jpg,Bewilderment: A Novel,17.
Sally Rooney,https://m.media-amazon.com/images/I/810HqnD6-eS._AC_UY218_.jpg,"Beautiful World, Where Are You: A Novel",16.
Dungeons and Dragons,https://m.media-amazon.com/images/I/810VC18CCDS._AC_UY218_.jpg,The Wild Beyond the Witchlight: A Feywild Adventure (Dungeons &amp; Dragons Book),29.
Joe Posnanski,https://m.media-amazon.com/images/I/51DJiwOEn8S._AC_UY218_.jpg,The Baseball 100,25.
Kate Bowler,https://m.media-amazon.com/images/I/81TycWHTV8L._AC_UY218_.jpg,No Cure for Being Human: (And Other Truths I Need to Hear),18.
Trisha Yearwood,https://m.media-amazon.com/images/I/61Q+ggWFU3S._AC_UY218_.jpg,Trisha's Kitchen: Easy Comfort Food for Friends and Family,18.
Stevie Van Zandt,https://m.media-amazon.com/images/I/81QGBmx97dL._AC_UY218_.jpg,Unrequited Infatuations: A Memoir,20.
Cassandra Peterson,https://m.media-amazon.com/images/I/619XjnPcnjL._AC_UY218_.jpg,"Yours Cruelly, Elvira: Memoirs of the Mistress of the Dark",22.
Laurie Woolever,https://m.media-amazon.com/images/I/81bSjFCE2jS._AC_UY218_.jpg,Bourdain: The Definitive Oral Biography,19.
